feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Fusobacterium sp000235465,10543.0,0.7864004369163669,-0.01859813535577981,-0.4334191842857973,-0.4964382800605568,1.0338276176740742,-0.5318465484880885,0.19585135317242547,0.973267867470751
Sutterella sp900545275,10551.0,0.7777296408528133,-0.019371044877058985,-0.5276705724235257,-0.680030645960007,-0.12497085437729893,-0.8730598844952713,0.36596223595302974,0.973267867470751
UBA737 sp902762875,10567.0,0.7604718345321443,-0.020916863919617334,-0.30921327772096263,-0.31811263419892527,1.4127107791062343,1.2216247619773082,0.04093540099469122,0.973267867470751
Prevotella sp002251295,10543.0,0.7864004369163669,-0.01859813535577981,-0.19081636565626836,-0.284869981711901,-0.4221220528821483,-0.9014627125473602,0.5781186960134284,0.973267867470751
Paraclostridium tenue,10129.0,0.7551026776238343,0.02139993237041693,-0.43473772047281783,-0.3607159895764363,1.0551448833206383,1.5231723506291193,-0.26928190331036345,0.973267867470751
Streptococcus parauberis,10147.0,0.7744851513242857,0.019660885947538786,-0.36005830618418433,-0.13608293057416038,-0.27869179389729837,1.5487371578347613,-1.403744440273918,0.973267867470751
Mesosutterella multiformis,10559.0,0.7690864365464457,-0.02014395439833816,0.8730478979081722,0.8253805650596523,1.7303493995689347,1.7164419846292667,-0.08100133819070446,0.973267867470751
Turicibacter sanguinis,10574.0,0.7529583069173174,-0.021593159750736612,0.2242195183402642,0.1881734851930741,1.1914026571619978,0.883794416248298,-0.25284851144090387,0.973267867470751
Cryptobacteroides sp000431015,10137.0,0.7636988947497118,0.020627022849137755,0.2237835341559728,0.23087374732094573,1.5157942939134763,1.6235538147545903,0.04500024555435505,0.973267867470751
Limivicinus faecipullorum,10570.0,0.7572489372347853,-0.021206704990097025,-0.882859355265757,-0.98847243702783,-1.830538918581281,-1.8896269893033129,0.16301711169042502,0.973267867470751
