met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full
Water,h2o,bartlettii,Other,Advanced_CRC,36.43301133533868,18.372379986215325,4,Intestinibacter bartlettii
Ammonium,nh4,adolescentis,Other,Advanced_CRC,36.43057986098436,24.17607821305345,8,Bifidobacterium adolescentis
Leucine,leu_L,prausnitzii,Amino Acid,Advanced_CRC,36.41654159633646,25.076455049144535,38,Faecalibacterium prausnitzii
Asparagine,asn_L,fragilis,Other,Advanced_CRC,36.40787117194858,22.95086253704218,21,fragilis
Adenosine,adn,salyersiae,Other,Advanced_CRC,36.37028916788436,37.170223539369395,12,Bacteroides salyersiae
Fumarate,fum,distasonis,Other,Advanced_CRC,36.3611414317706,28.6486608247783,64,Parabacteroides distasonis
Proton,h,intestini,Other,Advanced_CRC,36.306391665055884,18.095365469014823,3,intestini
Glutamine,gln_L,asaccharolytica,Amino Acid,Advanced_CRC,36.28500296726215,,1,asaccharolytica
Water,h2o,parvula,Other,Advanced_CRC,36.279503269561715,35.0054190997166,5,parvula
Proton,h,splanchnicus,Other,Advanced_CRC,36.275533906911114,22.136490517207218,10,Odoribacter splanchnicus
Asparagine,asn_L,fergusonii,Other,Advanced_CRC,36.25665427674877,28.22963423559799,2,Escherichia fergusonii
Lysine,lys_L,muciniphila,Amino Acid,Advanced_CRC,36.256509245725006,22.356706414498465,17,Akkermansia muciniphila
Water,h2o,hydrophila,Other,Advanced_CRC,36.20181071521688,,1,Aeromonas hydrophila
Guanine,gua,funiformis,Other,Advanced_CRC,36.201281149639996,35.380352283826035,23,Megamonas funiformis
Succinate,succ,ovatus,Other,Advanced_CRC,36.200543895339855,30.01064069600388,39,Bacteroides ovatus
Alanine,ala_L,aphrophilus,Amino Acid,Advanced_CRC,36.1943190425832,40.72481287887754,2,Aggregatibacter aphrophilus
Isoleucine,ile_L,prausnitzii,Amino Acid,Advanced_CRC,36.18756903809795,35.33725690714311,46,Faecalibacterium prausnitzii
Glutamate,glu_L,prausnitzii,Amino Acid,Advanced_CRC,36.18273254417856,27.259245540265006,10,Faecalibacterium prausnitzii
Succinate,succ,dentium,Other,Advanced_CRC,36.165094897956834,,1,Bifidobacterium dentium
Arginine,arg_L,ovatus,Polyamine,Advanced_CRC,36.12814870338195,24.92741660464266,88,Bacteroides ovatus
Malate,mal_L,excrementihominis,Other,Advanced_CRC,36.12558524000561,33.786155237240514,12,Parasutterella excrementihominis
Tryptophan,trp_L,fragilis,Indole / Tryptophan,Advanced_CRC,36.125025774561415,31.068778078494887,10,fragilis
Nicotinamide,ncam,xylaniphila,Other,Advanced_CRC,36.12033852764702,,1,Paraprevotella xylaniphila
Serine,ser_L,desulfuricans,Other,Advanced_CRC,36.098338567559985,,1,Desulfovibrio desulfuricans
Butyrate,but,inulinivorans,SCFA,Advanced_CRC,36.02880736381573,21.933245249177237,22,Roseburia inulinivorans
isochol,isochol,filiformis,Other,Advanced_CRC,35.98333170558593,,1,Holdemania filiformis
Glutamine,gln_L,evryensis,Amino Acid,Advanced_CRC,35.89779624087269,9.525189591609278,3,Cloacibacillus evryensis
CO2,co2,prausnitzii,Other,Advanced_CRC,35.82738019699069,22.781085178434157,14,Faecalibacterium prausnitzii
L-Lactaldehyde,lald_L,clara,Other,Advanced_CRC,35.82202471806838,26.348182107422495,22,Paraprevotella clara
Gamma-Butyrobetaine,gbbtn,fergusonii,Other,Advanced_CRC,35.79365656310308,12.880805142609189,30,Escherichia fergusonii
CO2,co2,salyersiae,Other,Advanced_CRC,35.785266356166474,28.04782227508385,27,Bacteroides salyersiae
Riboflavin,ribflv,hansenii,Other,Advanced_CRC,35.71428571428569,,1,Blautia hansenii
Cytidine,cytd,cancerogenus,Other,Advanced_CRC,35.681045173157315,,1,Enterobacter cancerogenus
Lactate,lac_L,funiformis,Other,Advanced_CRC,35.666785351031656,23.014096690608557,12,Megamonas funiformis
Malate,mal_L,wadsworthensis,Other,Advanced_CRC,35.66130446391852,27.395487732253482,30,Sutterella wadsworthensis
C02528,C02528,aerofaciens,Other,Advanced_CRC,35.6419924588212,,1,Collinsella aerofaciens
Ethanol,etoh,dentium,Other,Advanced_CRC,35.63499786434977,20.977562242786323,5,Bifidobacterium dentium
Butyrate,but,pilosicoli,SCFA,Advanced_CRC,35.63493886311123,36.907614697395985,2,Brachyspira pilosicoli
Asparagine,asn_L,virosa,Other,Advanced_CRC,35.62629316296107,,1,Butyricimonas virosa
Serine,ser_L,eggerthii,Other,Advanced_CRC,35.623220959343364,28.099858090432924,17,Bacteroides eggerthii
Histidine,his_L,gelidum,Other,Advanced_CRC,35.59091168030028,,1,Leuconostoc gelidum
Riboflavin,ribflv,bartlettii,Other,Advanced_CRC,35.5808918328032,33.68746648252354,2,Intestinibacter bartlettii
Deoxycytidine,dcyt,faecis,Other,Advanced_CRC,35.57636147943653,43.13326239661886,4,faecis
CO2,co2,enoeca,Other,Advanced_CRC,35.553027533249875,42.88446004747977,2,Prevotella enoeca
Ammonium,nh4,melaninogenica,Other,Advanced_CRC,35.50752330174642,29.469527488038143,8,Prevotella melaninogenica
Guanosine,gsn,stercorea,Other,Advanced_CRC,35.493868416821286,22.090595662184345,26,Prevotella stercorea
Lactate,lac_L,copri,Other,Advanced_CRC,35.470149167151654,40.131342179820614,8,Prevotella copri
Glutamate,glu_L,bifidum,Amino Acid,Advanced_CRC,35.46570483799562,33.319763921891074,9,Bifidobacterium bifidum
Threonine,thr_L,atypica,Amino Acid,Advanced_CRC,35.4286528443288,27.009546597621334,4,Veillonella atypica
Urea,urea,hypermegale,Other,Advanced_CRC,35.38622970798563,32.65384451446205,3,Megamonas hypermegale
gcald,gcald,merdae,Other,Advanced_CRC,35.365906594140526,28.325387327787837,65,merdae
Lactate,lac_L,catenulatum,Other,Advanced_CRC,35.36338407283857,9.977102503021053,3,Bifidobacterium catenulatum
Proline,pro_L,distasonis,Amino Acid,Advanced_CRC,35.362193330009404,39.94561096595275,6,Parabacteroides distasonis
Phenylalanine,phe_L,uniformis,Other,Advanced_CRC,35.31425954537794,25.868546133470367,23,Bacteroides uniformis
Glutamine,gln_L,atypica,Amino Acid,Advanced_CRC,35.31255399719259,30.77412787019,12,Veillonella atypica
Water,h2o,tannerae,Other,Advanced_CRC,35.29176861490304,17.48115776987273,4,Alloprevotella tannerae
Alpha-Ketoglutarate,akg,excrementihominis,Other,Advanced_CRC,35.27929117203284,35.40596247387356,12,Parasutterella excrementihominis
Water,h2o,parasanguinis,Other,Advanced_CRC,35.27780292772949,14.893923624238196,6,Streptococcus parasanguinis
Serine,ser_L,inulinivorans,Other,Advanced_CRC,35.2068045840491,11.838120616147062,6,Roseburia inulinivorans
Threonine,thr_L,plautii,Amino Acid,Advanced_CRC,35.169036037879216,21.902795264689544,45,Flavonifractor plautii
Adenine,ade,clara,Other,Advanced_CRC,35.14012808528509,28.43020377138085,22,Paraprevotella clara
Valine,val_L,spiroforme,Other,Advanced_CRC,35.11904761905376,15.19898254142926,4,Erysipelatoclostridium spiroforme
Fumarate,fum,bivia,Other,Advanced_CRC,35.10176227569152,30.24820000722294,2,Prevotella bivia
Succinate,succ,enterocolitica,Other,Advanced_CRC,35.05373694431512,,1,Yersinia enterocolitica
Cytidine,cytd,parasanguinis,Other,Advanced_CRC,35.042677812965756,24.48180130542968,3,Streptococcus parasanguinis
Water,h2o,merdae,Other,Advanced_CRC,35.01560497563514,20.654794572476195,50,merdae
