epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
sp900761765,,,,,Protoclostridium,Protoclostridium sp900761765,0.0062698867498176,SVR,Fumarate,C00122,Protoclostridium sp900761765,False
sp910586665,,,,,Duncaniella,Duncaniella sp910586665,0.0036649900497786,SVR,Fumarate,C00122,Duncaniella sp910586665,False
aeruginosa,Pseudomonas aeruginosa,58.06536766032582,Amino Acid,Pseudomonas,,,,,Leucine,C00123,Pseudomonas aeruginosa,False
albensis,Prevotella albensis,82.53290679974037,Amino Acid,Prevotella,,,,,Leucine,C00123,Prevotella albensis,False
circumdentaria,,,,,Porphyromonas,Porphyromonas circumdentaria,0.0056017468018856,SVR,Leucine,C00123,Porphyromonas circumdentaria,False
coahuilensis,,,,,Bacillus_T,Bacillus_T coahuilensis,0.007493699428987,SVR,Leucine,C00123,Bacillus_T coahuilensis,False
coli,,,,,Escherichia,Escherichia coli,0.007874449752669,SVR,Leucine,C00123,Escherichia coli,False
dentocariosa,Rothia dentocariosa,90.86736362862688,Amino Acid,Rothia,,,,,Leucine,C00123,Rothia dentocariosa,False
formicigenerans,Dorea formicigenerans,58.947922500136926,Amino Acid,Dorea,,,,,Leucine,C00123,Dorea formicigenerans,False
formigenes,Oxalobacter formigenes,57.432432432432506,Amino Acid,Oxalobacter,,,,,Leucine,C00123,Oxalobacter formigenes,False
goldsteinii,Parabacteroides goldsteinii,60.13012747560638,Amino Acid,Parabacteroides,,,,,Leucine,C00123,Parabacteroides goldsteinii,False
hydrophila,Aeromonas hydrophila,92.37384829109068,Amino Acid,Aeromonas,,,,,Leucine,C00123,Aeromonas hydrophila,False
intestinipullorum,,,,,Excrementavichristensenella,Excrementavichristensenella intestinipullorum,0.0061422169178584,SVR,Leucine,C00123,Excrementavichristensenella intestinipullorum,False
laneus,Odoribacter laneus,50.31132965626734,Amino Acid,Odoribacter,,,,,Leucine,C00123,Odoribacter laneus,False
longum,,,,,Bifidobacterium,Bifidobacterium longum,0.0065976308614772,SVR,Leucine,C00123,Bifidobacterium longum,False
mortiferum,,,,,Fusobacterium_A,Fusobacterium_A mortiferum,0.0116888243580845,SVR,Leucine,C00123,Fusobacterium_A mortiferum,False
nordii,Bacteroides nordii,77.11477224443489,Amino Acid,Bacteroides,,,,,Leucine,C00123,Bacteroides nordii,False
ornithinolytica,,,,,Klebsiella,Klebsiella ornithinolytica,0.0143087366800026,SVR,Leucine,C00123,Klebsiella ornithinolytica,False
parasanguinis,Streptococcus parasanguinis,54.28992240155484,Amino Acid,Streptococcus,,,,,Leucine,C00123,Streptococcus parasanguinis,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.012290395849589,SVR,Leucine,C00123,Egerieicola pullicola,False
salivarius,,,,,Ligilactobacillus,Ligilactobacillus salivarius,0.0055635562511009,SVR,Leucine,C00123,Ligilactobacillus salivarius,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0140695680901876,SVR,Leucine,C00123,Fusobacterium sp000235465,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.010102006134805,SVR,Leucine,C00123,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.006690056391088,SVR,Leucine,C00123,Lachnospira sp000436535,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0078762053235145,SVR,Leucine,C00123,Leptotrichia_A sp001274535,False
sp004793665,,,,,NM07-P-09,NM07-P-09 sp004793665,0.0054391724034463,SVR,Leucine,C00123,NM07-P-09 sp004793665,False
