feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Fimenecus sp002437245,3520.0,0.7669650284448762,0.02748998480453102,-0.03157440373699859,0.00939705589328294,1.230112901072026,0.2817175165691346,,0.9714815461665754
Megamonas funiformis,3486.0,0.6905396269360135,0.0368835474513054,0.38279290982549485,0.8214799495298625,-1.0367343513551113,-0.7818709712748451,1.1016612525085978,0.9714815461665754
UBA1829 sp900549045,3487.0,0.6927473544093823,0.03660726619698851,-1.0081529796834197,-0.9560759549110286,-2.1231206488286514,-2.1858853441593666,-0.07651743176262521,0.9714815461665754
Cryptobacterium curtum,3766.0,0.6620844274598048,-0.04047520375742497,0.06198784100826863,-0.10113210262666686,1.628535022866986,1.5440034744352698,,0.9714815461665754
Ruminococcus_D bicirculans,3743.0,0.7127324556328319,-0.034120734908136496,1.5423665979535612,1.0247663992726308,-0.14210057305469093,-0.35708336225038373,-0.5898506355070742,0.9714815461665754
Prevotella sp900551275,3756.0,0.683932287708723,-0.03771239121425607,2.268444604169442,1.8831186518170766,0.9907160020341443,0.9018174015564053,-0.2685795247554904,0.9714815461665754
UBA4334 sp002393555,3527.0,0.7830141262102599,0.02555601602431279,-0.6103383493764891,-0.4368451064362342,-0.8366838029688672,0.6551865018556402,-0.48248741361661507,0.9714815461665754
Enterosoma sp900763245,3742.0,0.7149655501258139,-0.033844453653819606,-0.5748785880929402,-0.8073937016157514,-1.0199796947593178,-1.3287744848522252,0.49001503610413494,0.9714815461665754
Porphyromonas endodontalis,3473.0,0.6620844274598048,0.04047520375742508,-0.3258676672956618,-0.26611155049492463,0.5363882844389778,1.2883084784647796,-0.2922550839828262,0.9714815461665754
Ventricola intestinavium,3464.0,0.6426636760017557,0.042961735046277094,-0.2807281430344229,-0.30136637879168343,1.3355844931274028,-0.7797316298547674,0.10234477402165561,0.9714815461665754
CAG-217 sp000436335,3743.0,0.7127324556328319,-0.034120734908136496,0.2598467294024655,0.1242401193858109,-0.6496169513652532,-0.7034759686529579,-1.0645297732106924,0.9714815461665754
Dialister invisus,3723.0,0.7578383100230219,-0.028595109821798692,-0.013557258645057479,-0.05600423961062571,-0.9962528098203851,-1.0479817644663516,2.046470639476889,0.9714815461665754
Sutterella wadsworthensis_A,3469.0,0.6534239087330734,0.04158032877469264,0.7271936542195084,0.9284874784996343,0.9583035151858841,1.2460719844393164,0.35254284374617456,0.9714815461665754
Prevotella sp900546535,3501.0,0.723922178990405,0.032739328636552045,1.7877504166165592,1.6558147714438307,0.6093199414557766,0.8458081526005294,-0.11060404539948826,0.9714815461665754
Faecimonas sp900554315,3735.0,0.730664623918214,-0.031910484873601375,-0.8996204394806312,-1.1242198159837842,-1.6552963682398172,-2.217605088777649,0.3215358053363114,0.9714815461665754
CAG-485 sp910578075,3735.0,0.730664623918214,-0.031910484873601375,-0.042060202187591794,-0.3356424576799329,1.5710354633601753,1.5213910412271439,2.9963975631789608,0.9714815461665754
W1P20-047 sp004555335,3495.0,0.7105018209609618,0.03439701616245339,-0.6715352182801625,-0.5777291867712484,-1.174719095493554,-0.648276094283224,-0.21706968209654,0.9714815461665754
UMGS902 sp900761025,3501.0,0.723922178990405,0.032739328636552045,-0.6647937245557249,-0.6689818390421265,-1.424118514900357,-1.3440055611261794,0.009060282753189671,0.9714815461665754
Eubacterium_R sp910577195,3482.0,0.6817351774834717,0.03798867246857296,-0.7083586352893811,-0.6255251850871391,-1.1314136252652887,-0.5470397987506956,-0.1794119966307775,0.9714815461665754
Prevotella sp003447235,3755.0,0.6861320770160453,-0.03743610995993918,0.25151501290935885,0.046319750233136475,1.3004218811705126,0.23975984159190666,-2.4409451124190893,0.9714815461665754
Holdemanella sp003436425,3753.0,0.6905396269360135,-0.0368835474513054,-0.4901001059984433,-0.5360739221835186,-1.3516746254808698,-1.5274871403919068,0.1293554970400635,0.9714815461665754
Ruminococcus_C sp000433635,3521.0,0.769251823837237,0.02721370355021413,-0.023684347374286586,-0.0612779728671333,-0.8523309191712087,-0.5625257184857926,1.3714346909253274,0.9714815461665754
Dialister sp900541605,3735.0,0.730664623918214,-0.031910484873601375,0.21796435329774952,-0.0066465567357543165,1.5669644224606163,0.4051228608101507,,0.9714815461665754
Megasphaera elsdenii,3737.0,0.7261673115553459,-0.032463047382235155,0.2877381998432432,0.20452641121843704,1.4809880093513819,1.3761769187870083,-0.49246960703390696,0.9714815461665754
Brachyspira aalborgi,3478.0,0.6729738543803889,0.03909379748584063,0.7291085104476597,0.8004592726294336,1.6865609545684563,1.7208749967907924,0.134694458754674,0.9714815461665754
Holdemanella sp900547815,3734.0,0.7329167682770761,-0.031634203619284484,-0.3091087330284005,-0.4514538505034925,-1.0573313963358757,-1.4594880901434166,0.5464641042025795,0.9714815461665754
Fusobacterium_A ulcerans,3462.0,0.6383803271848356,0.043514297554910875,0.1012137238988149,0.4905478083803027,1.5407387529940788,1.3761769187870083,2.276988812819033,0.9714815461665754
Sutterella parvirubra,3728.0,0.7464773431909052,-0.029976516093383143,-0.09769519141353114,-0.25850552276091815,1.3355844931274028,-1.3031742051174735,1.4038356528923253,0.9714815461665754
Caulobacter sp003931565,3724.0,0.7555618390842151,-0.028871391076115582,-0.34541190207822625,-0.5787761958474879,0.6083388949154998,-1.1917904384487912,0.744687793414643,0.9714815461665754
UBA737 sp902762875,3494.0,0.7082736633660571,0.03467329741677028,-0.30921327772096263,-0.3487500707356565,1.4127107791062343,1.5440034744352698,0.17359123968952372,0.9714815461665754
Sutterella sp900545275,3740.0,0.7194390492364203,-0.033291891145185826,-0.5276705724235257,-0.7841814426061584,-0.12497085437729893,-1.3530443571262438,0.5715499739094801,0.9714815461665754
Aphodomorpha sp900549955,3729.0,0.7442116576894982,-0.030252797347700033,0.03866040583904325,-0.3343437800747492,1.5931106426629462,1.2883084784647796,,0.9714815461665754
PeH17 sp900542285,3744.0,0.7105018209609618,-0.03439701616245339,-0.544804101420632,-0.8036976714916455,-0.4491371773093107,-1.784932224500567,0.5609153385632318,0.9714815461665754
UMGS902 sp003343845,3727.0,0.7487452223262409,-0.029700234839066253,-0.17881491379221737,-0.4043700969097969,1.457412985955438,1.0782155034962866,1.1772092512917076,0.9714815461665754
Prevotella sp900552515,3716.0,0.7738314227874777,-0.02666114104158024,0.6433962610445975,0.32288922583087415,1.472861701591187,1.1179218644334235,-0.9946682479848602,0.9714815461665754
