met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Lcystin,Lcystin,prausnitzii,Other,Early_CRC,17.922964402497215,8.646794508522023,2,Faecalibacterium prausnitzii,True,False
Serine,ser_L,onderdonkii,Other,Early_CRC,17.811002173048642,17.36191322743251,4,Alistipes onderdonkii,True,False
Asparagine,asn_L,inulinivorans,Other,Early_CRC,17.60020225185137,1.626775969298604,2,Roseburia inulinivorans,True,False
Deoxyadenosine,dad_2,intestinihominis,Other,Early_CRC,16.880664861340392,,1,intestinihominis,True,False
Guanosine,gsn,intestinihominis,Other,Early_CRC,16.871438568147948,,1,intestinihominis,True,False
strch2,strch2,inulinivorans,Other,Early_CRC,16.654250143982793,12.7837717409819,9,Roseburia inulinivorans,True,False
CO2,co2,intestinihominis,Other,Early_CRC,16.639135741750927,7.555482696669493,7,intestinihominis,True,False
Glycerol,glyc,prausnitzii,Other,Early_CRC,14.766797572214823,26.85088659410796,10,Faecalibacterium prausnitzii,True,False
Succinate,succ,onderdonkii,Other,Early_CRC,14.690854792064007,21.93984110888023,26,Alistipes onderdonkii,True,False
Urea,urea,prausnitzii,Other,Early_CRC,14.68565977262007,17.638146961717478,3,Faecalibacterium prausnitzii,True,False
Histidine,his_L,hadrus,Other,Early_CRC,14.57466497169774,6.640351183519617,2,Anaerostipes hadrus,False,True
Trimethylamine,tma,wadsworthia,Other,Early_CRC,14.411382656752059,12.499622487873983,7,Bilophila wadsworthia,False,True
Ethanol,etoh,prausnitzii,Other,Early_CRC,13.846143899102664,4.899655064234706,2,Faecalibacterium prausnitzii,True,False
Pyruvate,pyr,wadsworthia,Other,Early_CRC,12.976738760532339,10.153299830442716,5,Bilophila wadsworthia,False,True
Cholate,cholate,prausnitzii,Bile Acid,Early_CRC,12.44010733734445,,1,Faecalibacterium prausnitzii,True,False
Threonine,thr_L,wadsworthia,Amino Acid,Early_CRC,12.045751127600115,12.046326809432424,2,Bilophila wadsworthia,False,True
Nicotinate,nac,intestini,Other,Early_CRC,11.583265150232023,20.5033267115988,8,intestini,True,False
Phenylalanine,phe_L,wadsworthia,Other,Early_CRC,11.492016253647762,,1,Bilophila wadsworthia,False,True
CO2,co2,intestini,Other,Early_CRC,11.031830124643276,21.321566230917824,4,intestini,True,False
Cysteine,cys_L,wadsworthia,Other,Early_CRC,10.927433815667403,8.650312036121264,4,Bilophila wadsworthia,False,True
Glycine,gly,wadsworthia,Amino Acid,Early_CRC,10.927433815667175,8.650312036121594,4,Bilophila wadsworthia,False,True
Proline,pro_L,hadrus,Amino Acid,Early_CRC,10.642103621258158,,1,Anaerostipes hadrus,False,True
Maltose,malt,inulinivorans,Other,Early_CRC,10.343567216614451,12.703377486854588,3,Roseburia inulinivorans,True,False
Folate,fol,bifidum,Other,Early_CRC,9.596089425218082,,1,Bifidobacterium bifidum,False,True
gcald,gcald,bifidum,Other,Early_CRC,8.657627006644285,16.872206106676508,6,Bifidobacterium bifidum,False,True
Formate,for,faecis,Other,Early_CRC,8.41709101446784,22.642811876822467,39,faecis,False,True
26dap_M,26dap_M,intestinihominis,Other,Early_CRC,7.1749995879495465,6.730181916977818,3,intestinihominis,True,False
Cytidine,cytd,bifidum,Other,Early_CRC,6.810692490224352,3.324495103722103,3,Bifidobacterium bifidum,False,True
Valine,val_L,wadsworthia,Other,Early_CRC,6.753472222223536,,1,Bilophila wadsworthia,False,True
Propionate,ppa,intestinihominis,SCFA,Early_CRC,6.530723496175824,,1,intestinihominis,True,False
Arginine,arg_L,wadsworthia,Polyamine,Early_CRC,6.248465804074785,0.5366900671339231,2,Bilophila wadsworthia,False,True
Malate,mal_L,intestini,Other,Early_CRC,6.1537118725225195,,1,intestini,True,False
Propionate,ppa,inulinivorans,SCFA,Early_CRC,6.102415868392537,,1,Roseburia inulinivorans,True,False
D-Lactate,lac_D,intestini,Other,Early_CRC,4.958784103959999,,1,intestini,True,False
Phenylalanine,phe_L,intestinihominis,Other,Early_CRC,4.72687890245991,3.3690706459583133,2,intestinihominis,True,False
