Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Interaction_qval
Spermidine,C00315,Lawsonibacter sp900066825,-0.014194573285076067,0.23399832517916078,347,0.9873954788693271
Spermidine,C00315,Blautia_A wexlerae,-0.006448857392744859,0.5869775575131513,347,0.9873954788693271
Spermidine,C00315,Roseburia sp900542495,-0.011504026178204904,0.3332647806683384,347,0.9873954788693271
Spermidine,C00315,Bacteroides xylanisolvens,-0.0014570671816069658,0.9033979023001686,347,0.9873954788693271
Spermidine,C00315,Oliverpabstia intestinalis,-0.008071436625703563,0.4990141942584897,347,0.9873954788693271
Spermidine,C00315,Holdemanella porci,-0.011169431401543776,0.31461477145790917,347,0.9873954788693271
Spermidine,C00315,Bacteroides salyersiae,-0.0021710855420682277,0.8563742087734807,347,0.9873954788693271
Spermidine,C00315,Eubacterium_R sp000436835,-0.008037671825956251,0.49935793024500996,347,0.9873954788693271
Spermidine,C00315,Veillonella atypica,0.014043257117690187,0.273431824200046,347,0.9873954788693271
Spermidine,C00315,Streptococcus sp001556435,0.009764491162182387,0.4322641153131419,347,0.9873954788693271
Spermidine,C00315,Brachyspira aalborgi,-0.004183093940729421,0.7546338231294452,347,0.9873954788693271
Spermidine,C00315,Alistipes avistercoris,-0.008574873856684932,0.533444953370902,347,0.9873954788693271
Spermidine,C00315,Escherichia sp005843885,-0.006624293904330966,0.6141628706201419,347,0.9873954788693271
Spermidine,C00315,Paraprevotella xylaniphila,0.013620778276238463,0.2951756780911278,347,0.9873954788693271
Spermidine,C00315,Bacteroides sp900556625,-0.003853771522730265,0.7445175035374563,347,0.9873954788693271
Spermidine,C00315,RUG705 sp905188025,0.0020235337744327116,0.8680500464934816,347,0.9873954788693271
Spermidine,C00315,Lachnospira eligens,0.0024488041245908166,0.8467366733863283,347,0.9873954788693271
Spermidine,C00315,Dorea formicigenerans,-0.01943960005128752,0.11822668649841231,347,0.9873954788693271
Spermidine,C00315,Anaerotignum lactatifermentans,0.002861749641121385,0.8161295269872832,347,0.9873954788693271
Spermidine,C00315,Anaerobutyricum soehngenii,-0.02036835342619875,0.098014063025651,347,0.9873954788693271
Spermidine,C00315,CAG-83 sp000431575,-0.015075920567861438,0.25109898270749986,347,0.9873954788693271
Spermidine,C00315,Veillonella parvula_A,0.010631564785623101,0.40239950925550116,347,0.9873954788693271
Spermidine,C00315,Bacteroides intestinigallinarum,-0.003625546231238734,0.769114160770702,347,0.9873954788693271
Spermidine,C00315,Parabacteroides goldsteinii,-0.01959612784893036,0.1355221942874593,347,0.9873954788693271
Spermidine,C00315,Fimivicinus sp900544375,0.012843417783400497,0.31375784132144646,347,0.9873954788693271
Spermidine,C00315,Ruthenibacterium lactatiformans,-0.013986545254663084,0.30769304712828394,347,0.9873954788693271
Spermidine,C00315,Blautia_A massiliensis,-0.026401463665464038,0.03176211523862258,347,0.9873954788693271
Spermidine,C00315,Faecimonas sp905209745,0.001683515209914385,0.8936106377192483,347,0.9873954788693271
Spermidine,C00315,Parabacteroides johnsonii,0.008011532297190777,0.5315386671445332,347,0.9873954788693271
Spermidine,C00315,Enterocloster clostridioformis,0.010890109296779929,0.4245434252440745,347,0.9873954788693271
Spermidine,C00315,Acetatifactor sp003447295,-0.0035036865295871703,0.7898749618969896,347,0.9873954788693271
Spermidine,C00315,UBA11471 sp000434215,0.019244559005157275,0.1302319282980741,347,0.9873954788693271
Spermidine,C00315,Bacteroides sp900755095,-0.008512853552541454,0.4950906804956753,347,0.9873954788693271
Spermidine,C00315,Eubacterium_F sp003491505,0.012732307857334762,0.3600786089349647,347,0.9873954788693271
Spermidine,C00315,Anaerobutyricum hallii,0.011819485962788766,0.3725002787185059,347,0.9873954788693271
Spermidine,C00315,Prevotella sp002300055,-0.01844684997061795,0.18598681211247411,347,0.9873954788693271
Spermidine,C00315,Negativibacillus massiliensis,0.011029034935739118,0.408018129216447,347,0.9873954788693271
Spermidine,C00315,Alloprevotella sp900540885,-0.013585402257606526,0.3164764601599252,347,0.9873954788693271
Spermidine,C00315,Ruminococcus_C sp000433635,0.003230365791920085,0.8150604709680129,347,0.9873954788693271
Spermidine,C00315,Dysosmobacter welbionis,0.007335421023857602,0.5580803465388005,347,0.9873954788693271
Spermine,C00750,Prevotella sp900557255,-0.011689201914088981,0.15354980323812967,347,0.9873954788693271
Spermidine,C00315,Parabacteroides distasonis_A,-0.014701040631924098,0.2508534110507735,347,0.9873954788693271
Spermidine,C00315,Blautia_A faecis,0.0032924757639439662,0.80071819541155,347,0.9873954788693271
Spermidine,C00315,Lachnospira sp000436535,-0.002329039685295866,0.8515832956592548,347,0.9873954788693271
Spermidine,C00315,Phascolarctobacterium_A succinatutens_A,0.006703351773457452,0.6117673375577413,347,0.9873954788693271
Spermidine,C00315,Prevotella sp000436035,-0.005307530229778653,0.6666907105555013,347,0.9873954788693271
Spermidine,C00315,Coprobacter fastidiosus,0.007552464658857756,0.5631345502814286,347,0.9873954788693271
Spermidine,C00315,Bacteroides finegoldii,0.0071304139544120584,0.5894554717368496,347,0.9873954788693271
