met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
Methionine,met_L,australis,Amino Acid,97.31628617004773,0.9762671191115665,2,Streptococcus australis
Deoxyguanosine,dgsn,asaccharolytica,Other,97.2864107212055,1.7341948155592364,4,Porphyromonas asaccharolytica
Uridine,uri,asaccharolytica,Other,97.2748462902969,,1,Porphyromonas asaccharolytica
Proton,h,capillosus,Other,97.2652185710208,,1,Pseudoflavonifractor capillosus
D-Alanine,ala_D,atypica,Other,97.24999882082307,,1,Veillonella atypica
Guanosine,gsn,ruminicola,Other,97.18667414562091,1.6998794997529472,4,Cellulosilyticum ruminicola
Indole,indole,rohdei,Other,97.17158631316862,,1,Yersinia rohdei
Guanine,gua,corporis,Other,97.06181243247171,0.19675420975139862,2,Prevotella corporis
Deoxycytidine,dcyt,jalaludinii,Other,97.0412594364794,,1,Mitsuokella jalaludinii
Adenine,ade,bivia,Other,97.01358842748954,1.0627828417729643,2,Prevotella bivia
Hydrogen Sulfide,h2s,guamensis,Other,97.00552940459056,,1,Trabulsiella guamensis
Hydrogen Sulfide,h2s,enterocolitica,Other,96.96659014069368,,1,Yersinia enterocolitica
CO2,co2,media,Other,96.94034016707656,,1,Aeromonas media
Cysteine,cys_L,graevenitzii,Other,96.9266330676153,,1,Actinomyces graevenitzii
Proline,pro_L,mucilaginosa,Amino Acid,96.86625210132283,0.5702579848953794,4,Rothia mucilaginosa
Indole,indole,synergistica,Other,96.85841352235953,,1,Butyricimonas synergistica
Succinate,succ,buccae,Other,96.84191623558081,,1,Prevotella buccae
Phenylalanine,phe_L,dentocariosa,Other,96.7993479444251,1.138849585883928,3,Rothia dentocariosa
Aspartate,asp_L,alocis,Amino Acid,96.77419354838833,,1,Filifactor alocis
Glutamate,glu_L,agalactiae,Amino Acid,96.76367819046607,,1,Streptococcus agalactiae
Guanine,gua,nanceiensis,Other,96.73699578049695,,1,Prevotella nanceiensis
2obut,2obut,dentocariosa,Other,96.71312075834726,,1,Rothia dentocariosa
Indole,indole,graminisolvens,Other,96.70114040500937,,1,Bacteroides graminisolvens
Alpha-Ketoglutarate,akg,enterica,Other,96.68372617980853,,1,Salmonella enterica
Glycine,gly,limosum,Amino Acid,96.67696521147155,,1,Eubacterium limosum
Glutamate,glu_L,enterica,Amino Acid,96.6524879027292,0.2662065022814486,2,Salmonella enterica
Propionate,ppa,enterica,SCFA,96.65101847106303,1.3423323905585323,3,Salmonella enterica
Gamma-Butyrobetaine,gbbtn,youngae,Other,96.63952693908354,,1,Citrobacter youngae
Indole,indole,freundii,Other,96.55315728727058,0.27534661468068405,2,Citrobacter freundii
Adenosine,adn,bryantii,Other,96.51940733685814,2.8793326545875155,2,Prevotella bryantii
Uridine,uri,cylindroides,Other,96.45740598949293,,1,Faecalitalea cylindroides
Hydrogen Sulfide,h2s,aeruginosa,Other,96.45149333244314,0.3005149046925449,2,Pseudomonas aeruginosa
Inosine,ins,regensburgei,Other,96.43720681338601,,1,Yokenella regensburgei
Formate,for,angulatum,Other,96.38659262037605,,1,Bifidobacterium angulatum
Uridine,uri,nigrescens,Other,96.31983595340323,2.199159968806738,3,Prevotella nigrescens
Hydrogen Sulfide,h2s,hormaechei,Other,96.28596509274834,0.34667166191998827,5,Enterobacter hormaechei
Guanosine,gsn,enterica,Other,96.28107992194805,2.1507848768477005,2,Salmonella enterica
Alanine,ala_L,liquefaciens,Amino Acid,96.26703864443607,,1,Serratia liquefaciens
Guanine,gua,nigrescens,Other,96.23862663374155,1.1008665519833756,5,Prevotella nigrescens
Valine,val_L,enterica,Other,96.21153991130473,,1,Salmonella enterica
Hydrogen Sulfide,h2s,universalis,Other,96.1991423824609,,1,Cronobacter universalis
Cysteine,cys_L,breve,Other,96.11483312162099,,1,Bifidobacterium breve
Phosphate,pi,capillosus,Other,96.09414724758874,4.091936630618028,3,Pseudoflavonifractor capillosus
Guanine,gua,forsythia,Other,96.07719359254374,,1,Tannerella forsythia
CO2,co2,pseudopneumoniae,Other,96.0753439585797,,1,Streptococcus pseudopneumoniae
Adenine,ade,kashiwanohense,Other,96.03531143222034,7.7014771463767815,57,Bifidobacterium kashiwanohense
tym,tym,durum,Other,95.9401700380104,,1,Corynebacterium durum
Cysteine,cys_L,oxytoca,Other,95.93046279766526,0.6350719324912065,8,Klebsiella oxytoca
Phenylacetate,pac,forsythia,Other,95.92905187328466,0.3911781876734746,2,Tannerella forsythia
Adenosine,adn,albensis,Other,95.92402045039815,,1,Prevotella albensis
Uridine,uri,conceptionensis,Other,95.85421323981863,0.6541698132038801,4,Prevotella conceptionensis
hista,hista,aphrophilus,Other,95.84759504303595,,1,Aggregatibacter aphrophilus
