met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Deoxyadenosine,dad_2,onderdonkii,Other,57.689015132102206,41.11995142224677,56,Alistipes onderdonkii,True,False
Lactate,lac_L,bifidum,Other,57.566491955665086,38.94980544858962,2,Bifidobacterium bifidum,False,True
Formate,for,bifidum,Other,57.27468177626374,33.50875109207272,3,Bifidobacterium bifidum,False,True
Fumarate,fum,wadsworthia,Other,57.259940915440254,37.22447505005537,10,Bilophila wadsworthia,False,True
Threonine,thr_L,wadsworthia,Amino Acid,57.14285714285177,,1,Bilophila wadsworthia,False,True
Glutamine,gln_L,faecis,Amino Acid,56.64249590711985,32.960182823712934,42,Blautia_A faecis,False,True
Aspartate,asp_L,faecis,Amino Acid,56.37919181885769,26.886248753294538,21,Blautia_A faecis,False,True
Acetaldehyde,acald,bifidum,Other,56.32531938994318,0.36789323553514985,2,Bifidobacterium bifidum,False,True
Lactate,lac_L,hadrus,Other,56.250614410876345,23.631360288006203,10,Anaerostipes hadrus,False,True
Ammonium,nh4,intestinihominis,Other,56.08313225817532,33.806506723529026,13,Barnesiella intestinihominis,True,False
Succinate,succ,intestinihominis,Other,55.561407546018586,38.938169196330996,30,Barnesiella intestinihominis,True,False
CO2,co2,inulinivorans,Other,55.328084954081945,30.653347309302422,43,Roseburia inulinivorans,True,False
Lysine,lys_L,intestinihominis,Amino Acid,54.858041196713536,48.258594253884915,6,Barnesiella intestinihominis,True,False
Ammonium,nh4,intestini,Other,54.617888119224936,32.621994137850606,4,Murimonas intestini,True,False
Valine,val_L,bifidum,Other,54.09922418796399,33.53172307616289,12,Bifidobacterium bifidum,False,True
Glutamate,glu_L,inulinivorans,Amino Acid,54.096896716147626,,1,Roseburia inulinivorans,True,False
Lactate,lac_L,wadsworthia,Other,54.09677304667128,24.54659109213516,22,Bilophila wadsworthia,False,True
Proline,pro_L,bifidum,Amino Acid,54.05701249672403,28.077988707796994,4,Bifidobacterium bifidum,False,True
Uracil,ura,prausnitzii,Other,52.950169831760256,28.49206354008887,21,Faecalibacterium prausnitzii,True,False
