target,target_name,model,species,shap_importance,pathway
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,UBA4334 sp002363115,0.012133275635412697,Other
C08277_Sebacate,C08277,RF,Limivicinus faecipullorum,0.0120379208596577,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,Onthousia sp900758495,0.011922304450242085,Other
C00003_NAD+,C00003,XGBoost,Phocaeicola plebeius_A,0.011893506161868572,Other
C08277_Sebacate,C08277,RF,Alangreenwoodia gallinarii,0.01179701116898339,Other
C05332_Phenethylamine,C05332,SVR,Acutalibacter sp910580045,0.011764828564995949,Other
C00003_NAD+,C00003,XGBoost,Christensenella intestinihominis,0.01170541625469923,Other
C00003_NAD+,C00003,XGBoost,Fimivicinus sp900544715,0.011701861396431923,Other
C00123_Leu,C00123,SVR,Fusobacterium_A mortiferum,0.011688824358084509,Amino Acid
C02679_Dodecanoate,C02679,SVR,CAG-302 sp001916775,0.011672137053674004,Other
C02155_Gly-Leu,C02155,XGBoost,Lachnospira sp000436475,0.01159663312137127,Other
C17714_Heptanoate,C17714,SVR,CAG-177 sp003514385,0.011586130373423008,Other
C01959_Taurocyamine,C01959,RF,Prevotella sp900550035,0.011584337452560343,Other
C08277_Sebacate,C08277,RF,Scatavimonas merdipullorum,0.011500537267096086,Other
C01551_Allantoin,C01551,SVR,46-32 sp003243445,0.011471360091772066,Other
C02679_Dodecanoate,C02679,SVR,Paraclostridium tenue,0.01145298569545019,Other
C02714_N-Acetylputrescine,C02714,SVR,Clostridium_A leptum,0.011438400760676542,Other
C01879_5-Oxoproline,C01879,RF,Evtepia excrementipullorum,0.011419398996499502,Other
C00086_Urea,C00086,SVR,CAG-488 sp900539465,0.011385839928828457,Other
C00245_Taurine,C00245,RF,Veillonella atypica,0.011379895931146362,Other
C05332_Phenethylamine,C05332,SVR,Megamonas sp900556715,0.011323102538675552,Other
C02155_Gly-Leu,C02155,XGBoost,Prevotella sp002300055,0.01128514762967825,Other
C00186_Lactate,C00186,SVR,UMGS693 sp900544555,0.011278682645589688,Other
C02378_6-Aminohexanoate,C02378,RF,Slackia_A piriformis,0.011243776458858568,Other
C03264_2-Hydroxy-4-methylpentanoate,C03264,SVR,Avimicrobium caecorum,0.011235806211478034,Other
C00003_NAD+,C00003,XGBoost,ER4 sp000765235,0.01121941301971674,Other
C00314_Pyridoxine,C00314,RF,Alangreenwoodia gallinarii,0.01120908619296694,Other
C00003_NAD+,C00003,XGBoost,Dialister sp900543455,0.011204649694263935,Other
C00245_Taurine,C00245,RF,Neisseria sp000186165,0.01118952153098231,Other
C00122_Fumarate,C00122,SVR,Alkalihalobacillus_A sp007293315,0.011185923872859828,Other
C05332_Phenethylamine,C05332,SVR,Gemmiger formicilis,0.0111630992227647,Other
C00346_Ethanolamine phosphate,C00346,RF,Fusobacterium_A ulcerans,0.011152941295147956,Other
C00491_Cystine,C00491,SVR,Leptotrichia wadei,0.011115847775256704,Other
C09815_Benzamide,C09815,RF,CAG-873 sp900540625,0.011057645607217044,Other
C00003_NAD+,C00003,XGBoost,Enterosoma sp900763245,0.010997023433446884,Other
C01551_Allantoin,C01551,SVR,Lachnospira sp000436475,0.010995432909751121,Other
C02155_Gly-Leu,C02155,XGBoost,Slackia_A isoflavoniconvertens,0.01098635233938694,Other
C01104_Trimethylamine N-oxide,C01104,RF,Alistipes avistercoris,0.010950974750186318,Other
C02155_Gly-Leu,C02155,XGBoost,Prevotella sp002251385,0.010944346897304058,Other
C01959_Taurocyamine,C01959,RF,Bifidobacterium longum,0.010937751830509993,Other
C03264_2-Hydroxy-4-methylpentanoate,C03264,SVR,Egerieicola pullicola,0.010919613394347057,Other
C00449_Saccharopine,C00449,RF,Clostridium disporicum,0.010893898369901069,Other
C00311_Isocitrate,C00311,SVR,UBA1685 sp017435905,0.010855207678638424,Other
C00086_Urea,C00086,SVR,Lactobacillus amylolyticus,0.010829828836231084,Other
C00417_cis-Aconitate,C00417,SVR,Sutterella sp900545275,0.010825965024556945,Other
C00122_Fumarate,C00122,SVR,Leptotrichia_A sp001274535,0.010816104515478995,Other
C00086_Urea,C00086,SVR,S5-A14a sp000758905,0.010811463234270917,Other
C00334_GABA,C00334,SVR,Clostridium_A leptum,0.010800082347301123,Other
C02155_Gly-Leu,C02155,XGBoost,Collinsella sp900555555,0.010793477296829224,Other
_DCA,_DCA,SVR,Faecousia sp017548065,0.01078845845702809,Other
C09815_Benzamide,C09815,RF,Enterocloster sp001517625,0.010757618551001219,Other
C00086_Urea,C00086,SVR,Brachyspira aalborgi,0.010741988976639326,Other
C08277_Sebacate,C08277,RF,UBA3855 sp017460955,0.010741155664025311,Other
C00314_Pyridoxine,C00314,RF,Alistipes_A indistinctus,0.010712260039644669,Other
C08277_Sebacate,C08277,RF,UMGS693 sp900544555,0.010693584791471351,Other
C00245_Taurine,C00245,RF,Scatomorpha intestinavium,0.010665624125922512,Other
C00255_Riboflavin,C00255,RF,UMGS1322 sp905214315,0.010661286724106402,Other
C00334_GABA,C00334,SVR,Avimicrobium caecorum,0.010634012749668019,Other
C05984_2-Hydroxybutyrate,C05984,SVR,Scatavimonas sp900540275,0.010633990731430757,Other
C02714_N-Acetylputrescine,C02714,SVR,Veillonella atypica,0.010628696694073247,Other
C05332_Phenethylamine,C05332,SVR,Collinsella phocaeensis,0.010611623760837696,Other
C09815_Benzamide,C09815,RF,UBA5884 sp002431975,0.010582282955756278,Other
C00086_Urea,C00086,SVR,Egerieicola pullicola,0.010576665470526133,Other
C00024_Acetyl CoA,C00024,SVR,Avispirillum faecium,0.010568901040174428,Other
C08262_Isovalerate,C08262,SVR,Streptococcus parauberis,0.010538892324719601,Other
C00630_Isobutyryl CoA,C00630,SVR,Klebsiella ornithinolytica,0.010534732745023832,Other
C00346_Ethanolamine phosphate,C00346,RF,Brachyspira aalborgi,0.010467484846332765,Other
C09815_Benzamide,C09815,RF,Fusobacterium_B sp900554355,0.01046113122570575,Other
C02679_Dodecanoate,C02679,SVR,Prevotella sp002440225,0.01044319013565144,Other
C01879_5-Oxoproline,C01879,RF,ER4 sp000765235,0.010428234336627352,Other
C00423_trans-Cinnamate,C00423,RF,Alistipes shahii,0.010427602226194337,Other
C00383_Malonate,C00383,RF,Phascolarctobacterium_A succinatutens,0.01042082649996599,Other
C01879_5-Oxoproline,C01879,RF,Collinsella ihuae,0.01040552828815485,Other
C02155_Gly-Leu,C02155,XGBoost,Paramuribaculum sp910588065,0.010368061251938343,Other
C02155_Gly-Leu,C02155,XGBoost,Ruminiclostridium_E siraeum,0.010245067067444324,Other
C01118_o-Succinylhomoserine,C01118,RF,Aphodousia sp905212345,0.010238947553633252,Other
C01551_Allantoin,C01551,SVR,Escherichia fergusonii,0.01023885996745445,Other
C00086_Urea,C00086,SVR,Eubacterium_T sp900766045,0.010238587719725493,Other
C00311_Isocitrate,C00311,SVR,Klebsiella variicola,0.010230607143003922,Other
C16741_5-Hydroxylysine,C16741,SVR,Desulfovibrio sp905214305,0.01018505002467421,Other
C00245_Taurine,C00245,RF,Fimenecus sp000432435,0.01017559062837831,Other
C01551_Allantoin,C01551,SVR,Limivicinus faecipullorum,0.010169489581116707,Other
C00423_trans-Cinnamate,C00423,RF,UBA5884 sp002431975,0.010105476639854203,Other
C00123_Leu,C00123,SVR,Lachnospira sp000436475,0.010102006134805006,Amino Acid
C00383_Malonate,C00383,RF,Dialister invisus,0.010083668154184364,Other
C01879_5-Oxoproline,C01879,RF,Gemmiger qucibialis,0.01008216293355065,Other
C05332_Phenethylamine,C05332,SVR,Anaerostipes caccae,0.010077076460278257,Other
C05332_Phenethylamine,C05332,SVR,UBA1685 sp900546845,0.010070931453553367,Other
C00630_Isobutyryl CoA,C00630,SVR,Paraclostridium tenue,0.009934779804667244,Other
C00491_Cystine,C00491,SVR,Aphodousia sp905212345,0.009890055111882158,Other
C01879_5-Oxoproline,C01879,RF,CAG-170 sp000432135,0.009840901983172045,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,Clostridium_A leptum,0.009769325970818183,Other
C00086_Urea,C00086,SVR,Escherichia coli,0.009764273436994647,Other
C02679_Dodecanoate,C02679,SVR,Klebsiella variicola,0.009757377823482823,Other
C05332_Phenethylamine,C05332,SVR,CCUG-7971 sp017590215,0.009739078619414011,Other
C08262_Isovalerate,C08262,SVR,Flemingibacterium merdigallinarum,0.00972174229819841,Other
C02714_N-Acetylputrescine,C02714,SVR,Avispirillum faecium,0.00968267860790063,Other
C00383_Malonate,C00383,RF,UBA1829 sp900548385,0.009671352362019018,Other
