Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway
Fusobacterium_A mortiferum,C01104_Trimethylamine N-oxide,C01104,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS687 sp900545735,C00423_trans-Cinnamate,C00423,UMGS687,True,True,False,False,False,False,False,2,Medium (2),Other
Lactobacillus amylolyticus,3-Indoxyl sulfate,3-Indoxyl sulfate,Lactobacillus,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C01959_Taurocyamine,C01959,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes onderdonkii,C02679_Dodecanoate,C02679,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Leptotrichia_A sp001274535,C00491_Cystine,C00491,Leptotrichia,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-1427 sp900554685,C00879_Mucate,C00879,CAG-1427,True,True,False,False,False,False,False,2,Medium (2),Other
Erysipelatoclostridium ramosum,C00191_Glucuronate,C00191,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-170 sp000432135,C00449_Saccharopine,C00449,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other
Egerieicola pullicola,C00407_Ile,C00407,Egerieicola,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Lachnospira sp000436475,C00407_Ile,C00407,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Sediminibacterium sp902168225,C00954_Indole-3-acetate,C00954,Sediminibacterium,False,True,False,False,True,False,False,2,Medium (2),Other
Lachnospira sp000436535,C00123_Leu,C00123,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
CAG-170 sp000432135,C01879_5-Oxoproline,C01879,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other
Campylobacter_B sp900539505,C00440_5-Methyltetrahydrofolate,C00440,Campylobacter,False,True,False,False,True,False,False,2,Medium (2),Other
Escherichia coli,C00123_Leu,C00123,Escherichia,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Holdemanella sp900547815,C00024_Acetyl CoA,C00024,Holdemanella,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-274 sp000432155,C08262_Isovalerate,C08262,CAG-274,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-274 sp000432155,C00314_Pyridoxine,C00314,CAG-274,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C03264_2-Hydroxy-4-methylpentanoate,C03264,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Sediminibacterium sp902168225,C00440_5-Methyltetrahydrofolate,C00440,Sediminibacterium,False,True,False,False,True,False,False,2,Medium (2),Other
Aphodousia sp900553105,C03570_Mannosamine,C03570,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other
Scatavimonas merdipullorum,C01551_Allantoin,C01551,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other
Fusobacterium sp000235465,C00123_Leu,C00123,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Akkermansia muciniphila,C00134_Putrescine,C00134,Akkermansia,False,False,True,True,False,False,False,2,Medium (2),Polyamine
Akkermansia muciniphila,C00062_Arg,C00062,Akkermansia,False,False,True,True,False,False,False,2,Medium (2),Other
Barnesiella intestinihominis,C00134_Putrescine,C00134,Barnesiella,False,True,False,True,False,False,False,2,Medium (2),Polyamine
Lachnospira sp000437735,C00315_Spermidine,C00315,Lachnospira,False,False,True,True,False,False,False,2,Medium (2),Other
